source_bundle,source_system_id,file_name,field_name,logical_type,key_role,description,example_value
SB02,SYS-CLN-OPS,clinical_encounters.csv,encounter_number,identifier,primary_or_composite_key,Source-local encounter identifier.,ENC-000001
SB02,SYS-CLN-OPS,clinical_encounters.csv,patient_number,identifier,non_key,Source-local patient identifier used within the clinical system.,PAT-31162
SB02,SYS-CLN-OPS,clinical_encounters.csv,encounter_start,date_or_datetime,non_key,Encounter start.,2018-02-27T09:15:00
SB02,SYS-CLN-OPS,clinical_encounters.csv,encounter_end,date_or_datetime,non_key,Encounter end.,2018-02-27T10:45:00
SB02,SYS-CLN-OPS,clinical_encounters.csv,facility_license_number,identifier,non_key,Facility license number.,FAC-VLN-101
SB02,SYS-CLN-OPS,clinical_encounters.csv,encounter_type,categorical_or_text,non_key,Encounter type.,mobility_assessment
SB02,SYS-CLN-OPS,clinical_encounters.csv,referral_source,categorical_or_text,non_key,Referral source.,research programme
SB02,SYS-CLN-OPS,clinical_encounters.csv,attending_license_number,identifier,non_key,Attending license number.,LIC-VLN-MED-1001
SB02,SYS-CLN-OPS,clinical_encounters.csv,service_unit,categorical_or_text,non_key,Service unit.,cardiac diagnostics
SB02,SYS-CLN-OPS,clinical_encounters.csv,disposition,categorical_or_text,non_key,Disposition.,follow_up_planned
SB02,SYS-CLN-OPS,clinical_encounters.csv,confidentiality_class,categorical_or_text,non_key,Confidentiality class.,standard
SB02,SYS-CLN-OPS,clinical_encounters.csv,follow_up_date,date_or_datetime,non_key,Follow up date.,2019-09-04
SB02,SYS-CLN-OPS,clinical_observations.csv,observation_number,identifier,primary_or_composite_key,Observation number.,OBS-0000001
SB02,SYS-CLN-OPS,clinical_observations.csv,encounter_number,identifier,non_key,Source-local encounter identifier.,ENC-000001
SB02,SYS-CLN-OPS,clinical_observations.csv,patient_number,identifier,non_key,Source-local patient identifier used within the clinical system.,PAT-31162
SB02,SYS-CLN-OPS,clinical_observations.csv,observation_time,date_or_datetime,non_key,Observation time.,2018-02-27T09:27:00
SB02,SYS-CLN-OPS,clinical_observations.csv,observation_code,identifier,non_key,Observation code.,RPULSE
SB02,SYS-CLN-OPS,clinical_observations.csv,observation_name,categorical_or_text,non_key,Observation name.,Resting pulse
SB02,SYS-CLN-OPS,clinical_observations.csv,numeric_value,numeric,non_key,Numeric value.,64.0
SB02,SYS-CLN-OPS,clinical_observations.csv,text_value,categorical_or_text,non_key,Text value.,inconclusive
SB02,SYS-CLN-OPS,clinical_observations.csv,unit,categorical_or_text,non_key,Unit.,bpm
SB02,SYS-CLN-OPS,clinical_observations.csv,reference_range_text,categorical_or_text,non_key,Reference range text.,50–100
SB02,SYS-CLN-OPS,clinical_observations.csv,interpretation_code,identifier,non_key,Interpretation code.,within_expected_range
SB02,SYS-CLN-OPS,clinical_observations.csv,device_reference,identifier,non_key,Device reference.,DEV-002
SB02,SYS-CLN-OPS,clinical_observations.csv,quality_code,identifier,non_key,Quality code.,acceptable
SB02,SYS-CLN-OPS,clinical_observations.csv,assessor_license_number,identifier,non_key,Assessor license number.,LIC-VLN-MED-1001
SB02,SYS-CLN-OPS,clinical_procedures.csv,procedure_record_id,identifier,primary_or_composite_key,Procedure record id.,PRC-000001
SB02,SYS-CLN-OPS,clinical_procedures.csv,encounter_number,identifier,non_key,Source-local encounter identifier.,ENC-001018
SB02,SYS-CLN-OPS,clinical_procedures.csv,patient_number,identifier,non_key,Source-local patient identifier used within the clinical system.,PAT-31221
SB02,SYS-CLN-OPS,clinical_procedures.csv,procedure_code,identifier,non_key,Procedure code.,MRP-42
SB02,SYS-CLN-OPS,clinical_procedures.csv,procedure_description,categorical_or_text,non_key,Procedure description.,Targeted metabolic resilience administration
SB02,SYS-CLN-OPS,clinical_procedures.csv,scheduled_time,date_or_datetime,non_key,Scheduled time.,2016-02-18T08:30:00
SB02,SYS-CLN-OPS,clinical_procedures.csv,performed_time,date_or_datetime,non_key,Performed time.,2016-02-18T09:05:00
SB02,SYS-CLN-OPS,clinical_procedures.csv,performing_facility_license,categorical_or_text,non_key,Performing facility license.,FAC-VLN-101
SB02,SYS-CLN-OPS,clinical_procedures.csv,performing_license_number,identifier,non_key,Performing license number.,LIC-VLN-MED-1002
SB02,SYS-CLN-OPS,clinical_procedures.csv,authorization_class,categorical_or_text,non_key,Authorization class.,restricted_specialist
SB02,SYS-CLN-OPS,clinical_procedures.csv,material_reference,identifier,non_key,Material reference.,MTL-2016-0002
SB02,SYS-CLN-OPS,clinical_procedures.csv,procedure_status,categorical_or_text,non_key,Procedure status.,completed
SB02,SYS-CLN-OPS,clinical_procedures.csv,outcome_code,identifier,non_key,Outcome code.,completed_without_immediate_complication
SB02,SYS-CLN-OPS,clinical_procedures.csv,next_review_date,date_or_datetime,non_key,Next review date.,2016-03-22
SB02,SYS-CLN-OPS,patient_administration.csv,patient_number,identifier,primary_or_composite_key,Source-local patient identifier used within the clinical system.,PAT-31162
SB02,SYS-CLN-OPS,patient_administration.csv,family_name,categorical_or_text,non_key,Family name.,Varen
SB02,SYS-CLN-OPS,patient_administration.csv,given_name,categorical_or_text,non_key,Given name.,Eli
SB02,SYS-CLN-OPS,patient_administration.csv,date_of_birth,date_or_datetime,non_key,Date of birth.,1962-04-19
