orchard_survey_id,site_code,survey_period,orchard_area_ha,durian_flower_density,fruit_set_rate_pct,durian_yield_kg,other_pollinator_activity,fertilizer_use_index,irrigation_level,agricultural_disturbance_note
ORC-0000001,AVL-MAR,2019-01-01,24.1,40.3,34.7,20400.8,55.2,27.1,38.4,
ORC-0000002,AVL-MAR,2019-02-01,24.1,33.8,41.6,17712.7,63.8,44.2,41.6,
ORC-0000003,AVL-MAR,2019-03-01,24.1,55.1,57.3,28900.5,77.4,35.2,45.6,
ORC-0000004,AVL-MAR,2019-04-01,24.1,90.2,48.7,21992.9,67.4,22.8,36.3,
ORC-0000005,AVL-MAR,2019-05-01,24.1,80.7,61.4,27213.5,62.9,31.9,40.7,
ORC-0000006,AVL-MAR,2019-06-01,24.1,95.5,60.5,32138.8,59.5,23.0,34.2,
ORC-0000007,AVL-MAR,2019-07-01,24.1,87.4,68.1,31964.6,65.4,35.7,32.5,
ORC-0000008,AVL-MAR,2019-08-01,24.1,45.9,48.3,23013.7,68.0,9.7,39.8,
ORC-0000009,AVL-MAR,2019-09-01,24.1,47.3,51.3,24029.1,72.1,38.1,29.8,
ORC-0000010,AVL-MAR,2019-10-01,24.1,48.5,51.9,25181.7,63.4,28.4,39.2,storm-related flower loss
ORC-0000011,AVL-MAR,2019-11-01,24.1,43.1,48.5,23324.7,68.9,34.2,43.0,
ORC-0000012,AVL-MAR,2019-12-01,24.1,40.7,40.5,18319.3,63.8,44.7,43.7,
ORC-0000013,AVL-MAR,2020-01-01,24.1,45.6,46.4,20119.4,51.6,20.0,29.7,
ORC-0000014,AVL-MAR,2020-02-01,24.1,38.1,51.9,23826.6,78.2,28.1,40.3,
ORC-0000015,AVL-MAR,2020-03-01,24.1,62.1,49.1,25683.6,67.7,48.6,69.3,
ORC-0000016,AVL-MAR,2020-04-01,24.1,100.0,66.0,30187.6,57.5,26.4,31.5,
ORC-0000017,AVL-MAR,2020-05-01,24.1,100.0,68.5,31284.9,68.4,53.0,28.7,
ORC-0000018,AVL-MAR,2020-06-01,24.1,91.8,51.0,22279.8,69.5,40.1,37.9,
ORC-0000019,AVL-MAR,2020-07-01,24.1,78.4,51.0,22497.0,46.6,39.8,28.8,
ORC-0000020,AVL-MAR,2020-08-01,24.1,58.8,61.3,28621.2,72.6,40.9,38.7,
ORC-0000021,AVL-MAR,2020-09-01,24.1,62.0,51.0,22325.9,64.2,29.1,42.5,
ORC-0000022,AVL-MAR,2020-10-01,24.1,66.3,50.9,25993.4,62.1,25.2,34.1,
ORC-0000023,AVL-MAR,2020-11-01,24.1,67.8,58.1,26896.1,60.5,5.0,44.2,
ORC-0000024,AVL-MAR,2020-12-01,24.1,44.8,44.9,22193.4,54.1,31.9,36.3,
ORC-0000025,AVL-MAR,2021-01-01,24.1,28.1,44.2,19588.8,74.5,30.5,35.2,
ORC-0000026,AVL-MAR,2021-02-01,24.1,22.4,47.0,18920.3,62.7,38.5,26.4,
ORC-0000027,AVL-MAR,2021-03-01,24.1,72.7,64.2,29543.7,66.7,37.8,41.1,
ORC-0000028,AVL-MAR,2021-04-01,24.1,95.7,65.8,30896.9,66.8,26.5,34.0,
