receipt_number,purchase_order_number,purchase_order_line,receipt_date,receiving_facility_code,supplier_partner_code,received_quantity,received_unit,batch_reference,inspection_status,storage_location_code,receipt_status
RCV-2014-00001,PO-2014-00001,1,2014-07-08,FCL-1007,BP-30078,73,case,B-2014-44545,held,BIN-35,quality_hold
RCV-2015-00002,PO-2015-00001,1,2015-02-02,FCL-1010,BP-30068,0.9,service,B-2015-58495,accepted,BIN-36,posted
RCV-2015-00003,PO-2015-00002,1,2015-02-28,FCL-1030,BP-30066,1,service,B-2015-48474,held,BIN-17,quality_hold
RCV-2015-00004,PO-2015-00003,1,2015-03-02,FCL-1010,BP-30080,3,pack,B-2015-71913,accepted,BIN-16,posted
RCV-2015-00005,PO-2015-00004,1,2015-02-21,FCL-1022,BP-30021,1,grant,B-2015-31154,accepted,BIN-42,posted
RCV-2015-00006,PO-2015-00005,1,2015-03-13,FCL-1009,BP-30039,19,pallet,B-2015-15126,accepted,BIN-22,posted
RCV-2015-00007,PO-2015-00006,1,2015-03-10,FCL-1011,BP-30037,3,unit,B-2015-57188,accepted,BIN-03,posted
RCV-2015-00008,PO-2015-00007,1,2015-04-09,FCL-1019,BP-30039,1,service,B-2015-63040,accepted,BIN-32,posted
RCV-2015-00009,PO-2015-00008,1,2015-06-15,FCL-1007,BP-30028,1,kit,B-2015-43282,accepted,BIN-07,posted
RCV-2015-00010,PO-2015-00009,1,2015-06-22,FCL-1007,BP-30078,1,service,B-2015-67225,accepted,BIN-24,posted
RCV-2015-00011,PO-2015-00010,1,2015-07-19,FCL-1010,BP-30057,23,unit,B-2015-30475,accepted,BIN-04,posted
RCV-2015-00012,PO-2015-00011,1,2015-07-12,FCL-1011,BP-30009,1,contract,B-2015-73973,accepted,BIN-38,posted
RCV-2015-00013,PO-2015-00012,1,2015-07-27,FCL-1011,BP-30022,1,service,B-2015-57063,accepted,BIN-09,posted
RCV-2015-00014,PO-2015-00013,1,2015-08-22,FCL-1011,BP-30003,17,case,B-2015-71441,accepted,BIN-18,posted
RCV-2015-00015,PO-2015-00014,1,2015-08-15,FCL-1022,BP-30012,7,sealed_lot,B-2015-45320,accepted,BIN-36,posted
RCV-2015-00016,PO-2015-00015,1,2015-09-02,FCL-1023,BP-30057,37,pack,B-2015-70510,accepted,BIN-14,posted
RCV-2015-00017,PO-2015-00016,1,2015-09-18,FCL-1007,BP-30078,1,service,B-2015-57611,accepted,BIN-18,posted
RCV-2015-00018,PO-2015-00017,1,2015-09-16,FCL-1007,BP-30078,4,sealed_lot,B-2015-48740,accepted,BIN-20,posted
RCV-2015-00019,PO-2015-00018,1,2015-10-10,FCL-1009,BP-30079,1,service,B-2015-22943,conditional,BIN-28,posted
RCV-2015-00020,PO-2015-00019,1,2015-12-10,FCL-1008,BP-30009,31,pallet,B-2015-48430,accepted,BIN-13,posted
RCV-2015-00021,PO-2015-00020,1,2015-11-16,FCL-1007,BP-30078,4,case,B-2015-03133,accepted,BIN-41,posted
RCV-2016-00022,PO-2015-00021,1,2016-01-01,FCL-1011,BP-30011,6,case,B-2016-33616,accepted,BIN-08,posted
RCV-2015-00023,PO-2015-00022,1,2015-12-19,FCL-1007,BP-30078,36,pallet,B-2015-84550,conditional,BIN-07,posted
RCV-2016-00024,PO-2015-00024,1,2016-01-02,FCL-1010,BP-30046,14,case,B-2016-16112,accepted,BIN-17,posted
RCV-2015-00025,PO-2015-00025,1,2015-12-20,FCL-1015,BP-30066,14,unit,B-2015-55911,accepted,BIN-13,posted
RCV-2015-00026,PO-2015-00026,1,2015-12-29,FCL-1012,BP-30017,89,case,B-2015-73989,accepted,BIN-32,posted
RCV-2016-00027,PO-2016-00001,1,2016-02-21,FCL-1017,BP-30023,1,service,B-2016-31998,accepted,BIN-26,posted
RCV-2016-00028,PO-2016-00002,1,2016-02-23,FCL-1010,BP-30078,"56,41",case,B-2016-66046,accepted,BIN-37,posted
RCV-2016-00029,PO-2016-00003,1,2016-03-04,FCL-1009,BP-30013,7,case,B-2016-91369,accepted,BIN-22,posted
RCV-2016-00030,PO-2016-00004,1,2016-03-14,FCL-1002,BP-30033,10,case,B-2016-52838,accepted,BIN-27,posted
RCV-2016-00031,PO-2016-00005,1,2016-02-27,FCL-1011,BP-30012,20,unit,B-2016-13235,accepted,BIN-05,posted
RCV-2016-00032,PO-2016-00006,1,2016-03-18,FCL-1016,BP-30003,19,case,B-2016-13400,accepted,BIN-07,posted
RCV-2016-00033,PO-2016-00007,1,2016-04-05,FCL-1014,BP-30039,0.89,service,B-2016-66380,accepted,BIN-25,posted
RCV-2016-00034,PO-2016-00008,1,2016-03-30,FCL-1027,BP-30060,20,kit,B-2016-64752,conditional,BIN-35,posted
RCV-2016-00035,PO-2016-00009,1,2016-04-23,FCL-1010,BP-30068,55,pack,B-2016-49550,held,BIN-11,quality_hold
RCV-2016-00036,PO-2016-00010,1,2016-04-13,FCL-1010,BP-30054,6,case,B-2016-87541,accepted,BIN-22,posted
RCV-2016-00037,PO-2016-00011,1,2016-05-18,FCL-1030,BP-30028,1,grant,B-2016-18050,accepted,BIN-24,posted
RCV-2016-00038,PO-2016-00012,1,2016-07-01,FCL-1010,BP-30078,8,case,B-2016-12331,held,BIN-19,quality_hold
RCV-2016-00039,PO-2016-00013,1,2016-06-26,FCL-1005,BP-30046,18,unit,B-2016-74540,accepted,BIN-33,posted
RCV-2016-00040,PO-2016-00014,1,2016-08-11,FCL-1030,BP-30073,15,sealed_lot,B-2016-20835,accepted,BIN-35,posted
RCV-2016-00041,PO-2016-00015,1,2016-07-22,FCL-1007,BP-30078,2.44,case,B-2016-67390,accepted,BIN-15,posted
RCV-2016-00042,PO-2016-00016,1,2016-07-29,FCL-1007,BP-30078,28,case,B-2016-03344,accepted,BIN-03,posted
RCV-2016-00043,PO-2016-00018,1,2016-08-23,FCL-1010,BP-30030,1,service,B-2016-52060,accepted,BIN-34,posted
RCV-2016-00044,PO-2016-00019,1,2016-09-16,FCL-1030,BP-30080,78,case,B-2016-25294,accepted,BIN-36,posted
RCV-2016-00045,PO-2016-00020,1,2016-10-23,FCL-1010,BP-30011,1,service,B-2016-83212,accepted,BIN-06,posted
RCV-2016-00046,PO-2016-00021,1,2016-11-01,FCL-1002,BP-30029,88,case,B-2016-67443,accepted,BIN-11,posted
RCV-2016-00047,PO-2016-00022,1,2016-10-29,FCL-1007,BP-30009,15,unit,B-2016-16581,accepted,BIN-35,posted
RCV-2016-00048,PO-2016-00023,1,2016-12-06,FCL-1010,BP-30048,3,sealed_lot,B-2016-63522,held,BIN-01,quality_hold
RCV-2017-00049,PO-2016-00024,1,2017-01-08,FCL-1019,BP-30078,22,unit,B-2017-27269,accepted,BIN-40,posted
RCV-2017-00050,PO-2016-00025,1,2017-01-17,FCL-1030,BP-30032,1,service,B-2017-09798,conditional,BIN-37,posted
RCV-2017-00051,PO-2016-00026,1,2017-01-04,FCL-1019,BP-30078,36,pallet,B-2017-42339,accepted,BIN-24,posted
RCV-2017-00052,PO-2016-00027,1,2017-01-08,FCL-1008,BP-30057,1,kit,B-2017-82237,accepted,BIN-19,posted
RCV-2017-00053,PO-2016-00028,1,2017-01-14,FCL-1014,BP-30025,"0,88",service,B-2017-73943,accepted,BIN-18,posted
RCV-2017-00054,PO-2017-00001,1,2017-02-17,FCL-1019,BP-30078,35,case,B-2017-18489,held,BIN-41,quality_hold
RCV-2017-00055,PO-2017-00002,1,2017-02-18,FCL-1010,BP-30008,6,unit,B-2017-79842,accepted,BIN-11,posted
RCV-2017-00056,PO-2017-00003,1,2017-02-10,FCL-1011,BP-30059,1.66,sealed_lot,B-2017-23241,conditional,BIN-22,posted
RCV-2017-00057,PO-2017-00004,1,2017-03-09,FCL-1011,BP-30049,14 kit,kit,B-2017-75760,held,BIN-04,quality_hold
RCV-2017-00058,PO-2017-00005,1,2017-03-18,FCL-1011,BP-30014,22,unit,B-2017-49273,accepted,BIN-34,posted
RCV-2017-00059,PO-2017-00006,1,2017-03-28,FCL-1020,BP-30053,15,case,B-2017-54073,conditional,BIN-39,posted
RCV-2017-00060,PO-2017-00007,1,2017-03-05,FCL-1003,BP-30080,1,service,B-2017-51287,accepted,BIN-07,posted
RCV-2017-00061,PO-2017-00008,1,2017-04-02,FCL-1004,BP-30009,1,service,B-2017-24522,accepted,BIN-27,posted
RCV-2017-00062,PO-2017-00009,1,2017-04-02,FCL-1010,BP-30002,25,unit,B-2017-95737,accepted,BIN-08,posted
RCV-2017-00063,PO-2017-00010,1,2017-04-29,FCL-1006,BP-30023,78,case,B-2017-41210,accepted,BIN-35,posted
RCV-2017-00064,PO-2017-00011,1,2017-04-13,FCL-1030,BP-30077,1,service,B-2017-68077,accepted,BIN-18,posted
RCV-2017-00065,PO-2017-00012,1,2017-05-27,FCL-1007,BP-30078,5,sealed_lot,B-2017-74336,accepted,BIN-12,posted
RCV-2017-00066,PO-2017-00013,1,2017-06-26,FCL-1015,BP-30001,11,unit,B-2017-99387,accepted,BIN-04,posted
RCV-2017-00067,PO-2017-00014,1,2017-06-23,FCL-1019,BP-30078,1,service,B-2017-66809,accepted,BIN-31,posted
RCV-2017-00068,PO-2017-00015,1,2017-08-03,FCL-1007,BP-30052,12,unit,B-2017-13441,accepted,BIN-37,posted
RCV-2017-00069,PO-2017-00016,1,2017-09-21,FCL-1015,BP-30035,7,unit,B-2017-90561,accepted,BIN-05,posted
RCV-2017-00070,PO-2017-00017,1,2017-09-07,FCL-1007,BP-30078,5,sealed_lot,B-2017-65612,accepted,BIN-25,posted
RCV-2017-00071,PO-2017-00018,1,2017-09-10,FCL-1014,BP-30064,4,unit,B-2017-02603,accepted,BIN-36,posted
RCV-2017-00072,PO-2017-00019,1,2017-11-04,FCL-1016,BP-30080,17,unit,B-2017-94573,accepted,BIN-31,posted
RCV-2017-00073,PO-2017-00020,1,2017-11-08,FCL-1019,BP-30005,4.49,sealed_lot,B-2017-53664,accepted,BIN-29,posted
RCV-2017-00074,PO-2017-00021,1,2017-10-19,FCL-1029,BP-30073,23,unit,B-2017-62300,accepted,BIN-07,posted
RCV-2017-00075,PO-2017-00022,1,2017-11-09,FCL-1010,BP-30078,7,case,B-2017-11967,accepted,BIN-30,posted
RCV-2017-00076,PO-2017-00023,1,2017-11-19,FCL-1003,BP-30001,29,kit,B-2017-39693,accepted,BIN-30,posted
RCV-2017-00077,PO-2017-00024,1,2017-12-31,FCL-1007,BP-30078,26,pallet,B-2017-90851,,BIN-24,posted
RCV-2018-00078,PO-2017-00025,1,2018-01-20,FCL-1030,BP-30026,6,unit,B-2018-64893,accepted,BIN-06,posted
RCV-2018-00079,PO-2018-00001,1,2018-02-01,FCL-1010,BP-30078,43,case,B-2018-31469,accepted,BIN-17,posted
RCV-2018-00080,PO-2018-00002,1,2018-01-30,FCL-1020,BP-30018,11,unit,B-2018-88166,accepted,BIN-29,posted
RCV-2018-00081,PO-2018-00003,1,2018-02-11,FCL-1007,BP-30078,14,sealed_lot,B-2018-84294,conditional,BIN-36,posted
RCV-2018-00082,PO-2018-00004,1,2018-03-02,FCL-1004,BP-30043,1,service,B-2018-68110,accepted,BIN-14,posted
RCV-2018-00083,PO-2018-00005,1,2018-03-04,FCL-1020,BP-30078,29,kit,B-2018-29012,conditional,BIN-04,posted
RCV-2018-00084,PO-2018-00006,1,2018-02-18,FCL-1010,BP-30078,6,sealed_lot,B-2018-79306,accepted,BIN-16,posted
RCV-2018-00085,PO-2018-00007,1,2018-03-22,FCL-1030,BP-30078,88,case,B-2018-60038,accepted,BIN-03,posted
RCV-2018-00086,PO-2018-00008,1,2018-04-05,FCL-1020,BP-30072,11,pack,B-2018-20753,accepted,BIN-33,posted
RCV-2018-00087,PO-2018-00009,1,2018-04-14,FCL-1007,BP-30078,14,sealed_lot,B-2018-74906,accepted,BIN-28,posted
RCV-2018-00088,PO-2018-00010,1,2018-04-28,FCL-1002,BP-30034,"69,37",case,B-2018-61918,accepted,BIN-31,posted
RCV-2018-00089,PO-2018-00011,1,2018-04-25,FCL-1020,BP-30028,0.93,service,B-2018-20532,accepted,BIN-18,posted
RCV-2018-00090,PO-2018-00012,1,2018-05-18,FCL-1011,BP-30001,15,unit,B-2018-08521,accepted,BIN-12,posted
RCV-2018-00091,PO-2018-00014,1,2018-04-29,FCL-1019,BP-30038,1,service,B-2018-28198,conditional,BIN-40,posted
RCV-2018-00092,PO-2018-00015,1,2018-05-17,FCL-1014,BP-30057,1,service,B-2018-12712,accepted,BIN-27,posted
RCV-2018-00093,PO-2018-00016,1,2018-04-28,FCL-1020,BP-30009,5,kit,B-2018-18310,accepted,BIN-15,posted
RCV-2018-00094,PO-2018-00017,1,2018-05-14,FCL-1011,BP-30056,16,unit,B-2018-52675,accepted,BIN-13,posted
RCV-2018-00095,PO-2018-00018,1,2018-04-25,FCL-1019,BP-30078,68,case,B-2018-02474,accepted,BIN-10,posted
RCV-2018-00096,PO-2018-00019,1,2018-05-06,FCL-1011,BP-30002,29.13,case,B-2018-61504,accepted,BIN-18,posted
RCV-2018-00097,PO-2018-00020,1,2018-05-11,FCL-1015,BP-30078,1,service,B-2018-94417,conditional,BIN-26,posted
RCV-2018-00098,PO-2018-00021,1,2018-04-29,FCL-1010,BP-30048,1,service,B-2018-43834,accepted,BIN-06,posted
RCV-2018-00099,PO-2018-00022,1,2018-04-25,FCL-1010,BP-30040,1,service,B-2018-85583,accepted,BIN-23,posted
RCV-2018-00100,PO-2018-00023,1,2018-04-25,FCL-1013,BP-30059,1,service,B-2018-70128,accepted,BIN-25,posted
RCV-2018-00101,PO-2018-00024,1,2018-04-18,FCL-1025,BP-30005,1,service,B-2018-12293,accepted,BIN-09,posted
RCV-2018-00102,PO-2018-00025,1,2018-05-14,FCL-1007,BP-30078,1,service,B-2018-53494,accepted,BIN-28,posted
RCV-2018-00103,PO-2018-00026,1,2018-04-21,FCL-1007,BP-30078,0.93,service,B-2018-41956,accepted,BIN-04,posted
RCV-2018-00104,PO-2018-00027,1,2018-05-15,FCL-1019,BP-30018,14,kit,B-2018-78680,accepted,BIN-33,posted
RCV-2018-00105,PO-2018-00029,1,2018-05-07,FCL-1007,BP-30075,1,service,B-2018-73722,held,BIN-31,quality_hold
RCV-2018-00106,PO-2018-00030,1,2018-06-02,FCL-1030,BP-30002,1,service,B-2018-25058,conditional,BIN-17,posted
RCV-2018-00107,PO-2018-00032,1,2018-05-27,FCL-1007,BP-30078,1,service,B-2018-91913,accepted,BIN-12,posted
RCV-2018-00108,PO-2018-00033,1,2018-05-23,FCL-1005,BP-30055,72,case,B-2018-12419,accepted,BIN-30,posted
RCV-2018-00109,PO-2018-00034,1,2018-05-24,FCL-1011,BP-30066,10.84,unit,B-2018-21238,accepted,BIN-01,posted
RCV-2018-00110,PO-2018-00035,1,2018-05-08,FCL-1006,BP-30021,11,kit,B-2018-96454,accepted,BIN-34,posted
RCV-2018-00111,PO-2018-00036,1,2018-05-14,FCL-1011,BP-30030,9,unit,B-2018-68523,conditional,BIN-02,posted
RCV-2018-00112,PO-2018-00037,1,2018-05-02,FCL-1025,BP-30042,12,pack,B-2018-58842,accepted,BIN-21,posted
RCV-2018-00113,PO-2018-00038,1,2018-06-07,FCL-1019,BP-30025,17,unit,B-2018-84260,accepted,BIN-14,posted
RCV-2018-00114,PO-2018-00039,1,2018-05-30,FCL-1015,BP-30013,42,case,B-2018-37506,accepted,BIN-28,posted
RCV-2018-00115,PO-2018-00040,1,2018-05-25,FCL-1011,BP-30066,27,pallet,B-2018-80713,conditional,BIN-32,posted
RCV-2018-00116,PO-2018-00041,1,2018-05-09,FCL-1007,BP-30055,1,service,B-2018-75645,accepted,BIN-07,posted
RCV-2018-00117,PO-2018-00042,1,2018-06-04,FCL-1019,BP-30078,7,unit,B-2018-48473,accepted,BIN-30,posted
RCV-2018-00118,PO-2018-00043,1,2018-06-11,FCL-1011,BP-30056,1,service,B-2018-05612,accepted,BIN-40,posted
RCV-2018-00119,PO-2018-00045,1,2018-06-16,FCL-1010,BP-30078,47,case,B-2018-00602,accepted,BIN-13,posted
RCV-2018-00120,PO-2018-00046,1,2018-07-31,FCL-1016,BP-30053,55,case,B-2018-63794,accepted,BIN-01,posted
RCV-2018-00121,PO-2018-00047,1,2018-07-31,FCL-1011,BP-30008,9,unit,B-2018-92960,accepted,BIN-40,posted
RCV-2018-00122,PO-2018-00049,1,2018-10-09,FCL-1007,BP-30080,1,kit,B-2018-07869,accepted,BIN-21,posted
RCV-2018-00123,PO-2018-00050,1,2018-12-10,FCL-1019,BP-30078,1,service,B-2018-99849,accepted,BIN-23,posted
RCV-2018-00124,PO-2018-00051,1,2018-11-30,FCL-1011,BP-30056,2,pallet,B-2018-35028,conditional,BIN-37,posted
RCV-2019-00125,PO-2018-00052,1,2019-01-14,FCL-1011,BP-30021,60,pack,B-2019-45301,accepted,BIN-05,posted
RCV-2019-00126,PO-2018-00053,1,2019-01-01,FCL-1011,BP-30058,90,case,B-2019-87737,accepted,BIN-29,posted
RCV-2019-00127,PO-2019-00001,1,2019-02-27,FCL-1011,BP-30037,0.85,service,B-2019-39843,accepted,BIN-16,posted
RCV-2019-00128,PO-2019-00003,1,2019-03-14,FCL-1007,BP-30078,85,case,B-2019-68883,accepted,BIN-07,posted
RCV-2019-00129,PO-2019-00004,1,2019-05-03,FCL-1019,BP-30070,10,sealed_lot,B-2019-27270,accepted,BIN-23,posted
RCV-2019-00130,PO-2019-00005,1,2019-05-03,FCL-1007,BP-30078,65.23,case,B-2019-83552,accepted,BIN-01,posted
RCV-2019-00131,PO-2019-00006,1,2019-05-28,FCL-1001,BP-30021,34,pallet,B-2019-25233,accepted,BIN-34,posted
RCV-2019-00132,PO-2019-00007,1,2019-05-30,FCL-1011,BP-30030,77,case,B-2019-60895,accepted,BIN-19,posted
RCV-2019-00133,PO-2019-00008,1,2019-05-21,FCL-1007,BP-30078,48,case,B-2019-08170,accepted,BIN-29,posted
RCV-2019-00134,PO-2019-00009,1,2019-06-02,FCL-1015,BP-30072,0.95,service,B-2019-72775,accepted,BIN-09,posted
RCV-2019-00135,PO-2019-00010,1,2019-05-26,FCL-1016,BP-30033,1,contract,B-2019-32817,accepted,BIN-37,posted
RCV-2019-00136,PO-2019-00011,1,2019-06-11,FCL-1011,BP-30025,5.29,unit,B-2019-50126,accepted,BIN-07,posted
RCV-2019-00137,PO-2019-00013,1,2019-07-11,FCL-1016,BP-30044,70,case,B-2019-72856,accepted,BIN-41,posted
RCV-2019-00138,PO-2019-00014,1,2019-08-07,FCL-1007,BP-30078,18,sealed_lot,B-2019-79736,accepted,BIN-09,posted
RCV-2019-00139,PO-2019-00015,1,2019-08-05,FCL-1010,BP-30047,4,case,B-2019-74795,accepted,BIN-06,posted
RCV-2019-00140,PO-2019-00016,1,2019-07-27,FCL-1029,BP-30007,1,sealed_lot,B-2019-22492,accepted,BIN-16,posted
RCV-2019-00141,PO-2019-00017,1,2019-08-27,FCL-1020,BP-30078,78,case,B-2019-06531,accepted,BIN-35,posted
RCV-2019-00142,PO-2019-00018,1,2019-09-25,FCL-1019,BP-30078,64,case,B-2019-28942,accepted,BIN-11,posted
RCV-2019-00143,PO-2019-00019,1,2019-09-18,FCL-1030,BP-30078,4,kit,B-2019-54869,accepted,BIN-18,posted
RCV-2019-00144,PO-2019-00020,1,2019-10-16,FCL-1011,BP-30034,68,case,B-2019-36555,accepted,BIN-04,posted
RCV-2019-00145,PO-2019-00021,1,2019-09-30,FCL-1011,BP-30056,22,unit,B-2019-82917,accepted,BIN-35,posted
RCV-2019-00146,PO-2019-00022,1,2019-09-12,FCL-1011,BP-30030,11,sealed_lot,B-2019-92461,accepted,BIN-39,posted
RCV-2019-00147,PO-2019-00023,1,2019-09-25,FCL-1019,BP-30052,1,kit,B-2019-56350,accepted,BIN-16,posted
RCV-2019-00148,PO-2019-00024,1,2019-10-09,FCL-1011,BP-30029,1,service,B-2019-85358,held,BIN-29,quality_hold
RCV-2019-00149,PO-2019-00025,1,2019-10-04,FCL-1007,BP-30078,21,unit,B-2019-44904,conditional,BIN-05,posted
RCV-2019-00150,PO-2019-00026,1,2019-10-08,FCL-1016,BP-30028,37.14,pack,B-2019-67241,accepted,BIN-17,posted
RCV-2019-00151,PO-2019-00027,1,2019-09-13,FCL-1030,BP-30022,48,pallet,B-2019-56105,conditional,BIN-29,posted
RCV-2019-00152,PO-2019-00028,1,2019-10-20,FCL-1011,BP-30042,39,case,B-2019-04469,accepted,BIN-41,POSTED
RCV-2019-00153,PO-2019-00029,1,2019-10-04,FCL-1010,BP-30014,22,pallet,B-2019-07409,accepted,BIN-20,posted
RCV-2019-00154,PO-2019-00030,1,2019-09-16,FCL-1012,BP-30008,7,unit,B-2019-21058,accepted,BIN-40,posted
RCV-2019-00155,PO-2019-00031,1,2019-09-21,FCL-1007,BP-30078,3,sealed_lot,B-2019-33027,conditional,BIN-14,posted
RCV-2019-00156,PO-2019-00032,1,2019-09-27,FCL-1011,BP-30062,53,case,B-2019-98381,accepted,BIN-42,posted
RCV-2019-00157,PO-2019-00033,1,2019-10-17,FCL-1010,BP-30015,70,case,B-2019-32288,accepted,BIN-03,posted
RCV-2019-00158,PO-2019-00034,1,2019-10-13,FCL-1020,BP-30054,1,service,B-2019-91523,accepted,BIN-08,posted
RCV-2019-00159,PO-2019-00035,1,2019-09-25,FCL-1011,BP-30012,47,pallet,B-2019-71715,conditional,BIN-08,posted
RCV-2019-00160,PO-2019-00036,1,2019-10-10,FCL-1011,BP-30079,1,service,B-2019-40633,accepted,BIN-10,posted
RCV-2019-00161,PO-2019-00037,1,2019-10-08,FCL-1007,BP-30078,1,contract,B-2019-52133,accepted,BIN-35,posted
RCV-2019-00162,PO-2019-00038,1,2019-10-03,FCL-1002,BP-30020,12.77,unit,B-2019-73006,accepted,BIN-12,posted
RCV-2019-00163,PO-2019-00039,1,2019-10-11,FCL-1013,BP-30032,1,contract,B-2019-00820,held,BIN-10,quality_hold
RCV-2019-00164,PO-2019-00040,1,2019-10-28,FCL-1019,BP-30001,1,service,B-2019-76482,accepted,BIN-01,posted
RCV-2019-00165,PO-2019-00041,1,2019-09-30,FCL-1019,BP-30018,33,pack,B-2019-70060,accepted,BIN-42,posted
RCV-2019-00166,PO-2019-00042,1,2019-10-22,FCL-1016,BP-30050,10,unit,B-2019-36991,accepted,BIN-17,posted
RCV-2019-00167,PO-2019-00043,1,2019-10-01,FCL-1020,BP-30052,24,pack,B-2019-36456,accepted,BIN-39,posted
RCV-2019-00168,PO-2019-00044,1,2019-10-12,FCL-1020,BP-30066,58,case,B-2019-83677,accepted,BIN-02,posted
RCV-2019-00169,PO-2019-00045,1,2019-09-29,FCL-1007,BP-30078,17,kit,B-2019-97954,accepted,BIN-26,posted
RCV-2019-00170,PO-2019-00046,1,2019-10-26,FCL-1025,BP-30079,0.87,contract,B-2019-60267,accepted,BIN-16,posted
RCV-2019-00171,PO-2019-00047,1,2019-10-23,FCL-1007,BP-30021,1,service,B-2019-25967,accepted,BIN-27,posted
RCV-2019-00172,PO-2019-00048,1,2019-10-03,FCL-1011,BP-30029,24,kit,B-2019-72643,accepted,BIN-26,posted
RCV-2019-00173,PO-2019-00049,1,2019-10-05,FCL-1007,BP-30078,1,service,B-2019-33600,accepted,BIN-20,posted
RCV-2019-00174,PO-2019-00050,1,2019-11-01,FCL-1011,BP-30064,18,unit,B-2019-94235,held,BIN-12,quality_hold
RCV-2019-00175,PO-2019-00051,1,2019-10-16,FCL-1007,BP-30078,8,pack,B-2019-88642,accepted,BIN-29,posted
RCV-2019-00176,PO-2019-00052,1,2019-10-25,FCL-1011,BP-30009,48,pack,B-2019-22203,accepted,BIN-12,posted
RCV-2019-00177,PO-2019-00053,1,2019-10-26,FCL-1011,BP-30056,1,service,B-2019-11239,accepted,BIN-27,posted
RCV-2019-00178,PO-2019-00054,1,2019-10-30,FCL-1004,BP-30002,1,service,B-2019-75874,accepted,BIN-12,posted
RCV-2019-00179,PO-2019-00055,1,2019-11-07,FCL-1019,BP-30078,26,kit,B-2019-81308,accepted,BIN-03,posted
RCV-2019-00180,PO-2019-00056,1,2019-12-06,FCL-1024,BP-30057,21,kit,B-2019-06567,accepted,BIN-35,posted
RCV-2019-00181,PO-2019-00057,1,2019-11-29,FCL-1010,BP-30078,48,case,B-2019-56413,accepted,BIN-41,posted
RCV-2019-00182,PO-2019-00058,1,2019-12-12,FCL-1028,BP-30072,1,service,B-2019-35862,accepted,BIN-32,posted
RCV-2019-00183,PO-2019-00059,1,2019-12-01,FCL-1007,BP-30078,63,case,B-2019-52229,accepted,BIN-42,posted
RCV-2020-00184,PO-2019-00061,1,2020-01-17,FCL-1008,BP-30056,63,case,B-2020-59028,accepted,BIN-16,posted
RCV-2020-00185,PO-2020-00001,1,2020-02-11,FCL-1015,BP-30030,17,unit,B-2020-00212,accepted,BIN-40,posted
RCV-2020-00186,PO-2020-00002,1,2020-02-18,FCL-1015,BP-30044,65,case,B-2020-84367,accepted,BIN-27,posted
