adjustment_number,facility_code,adjustment_date,item_category,adjustment_quantity,unit,adjustment_reason,approved_by_role,related_receipt_number,related_shipment_number,adjustment_status
ADJ-2014-00001,FCL-1007,2014-07-18,medical_consumables,-1.58,case,specialist programme issue,clinical stores manager,,,posted
ADJ-2015-00002,FCL-1007,2015-09-10,medical_consumables,-2.7,case,specialist programme issue,specialist programme administrator,,,posted
ADJ-2015-00003,FCL-1024,2015-10-30,monitoring_equipment,3.68,kit,late receipt posting,warehouse manager,RCV-2022-00361,,posted
ADJ-2016-00004,FCL-1007,2016-01-20,biological_sample,6.52,sealed_lot,late receipt posting,finance controller,,,pending_review
ADJ-2016-00005,FCL-1010,2016-02-18,medical_consumables,-2.43,case,procedure stock issue,quality manager,,,posted
ADJ-2016-00006,FCL-1004,2016-06-12,medical_consumables,1.48,case,damaged packaging write-off,finance controller,RCV-2024-00527,,posted
ADJ-2016-00007,FCL-1010,2016-06-16,medical_consumables,-2.58,case,specialist programme issue,quality manager,,,posted
ADJ-2016-00008,FCL-1007,2016-07-29,medical_consumables,-1.89,case,controlled-area consumption,quality manager,,,posted
ADJ-2017-00009,FCL-1007,2017-05-12,medical_consumables,-2.12,case,controlled-area consumption,clinical stores manager,,,posted
ADJ-2017-00010,FCL-1007,2017-09-21,medical_consumables,-1.86,case,controlled-area consumption,clinical stores manager,,,posted
ADJ-2017-00011,FCL-1010,2017-11-03,medical_consumables,-2.56,case,procedure stock issue,quality manager,,,posted
ADJ-2018-00012,FCL-1016,2018-01-07,agricultural_product,3.13,pallet,damaged packaging write-off,quality manager,,,posted
ADJ-2018-00013,FCL-1010,2018-01-26,medical_consumables,-2.31,case,specialist programme issue,specialist programme administrator,,,posted
ADJ-2018-00014,FCL-1027,2018-02-18,agricultural_product,-4.42,pallet,quality-hold release,inventory supervisor,RCV-2023-00414,SHP-2023-00029,approved
ADJ-2018-00015,FCL-1010,2018-02-22,medical_consumables,-2.09,case,controlled-area consumption,quality manager,,,posted
ADJ-2018-00016,FCL-1029,2018-02-22,biological_sample,-7.25,sealed_lot,cycle count correction,warehouse manager,RCV-2024-00522,SHP-2025-00012,posted
ADJ-2018-00017,FCL-1019,2018-02-23,agricultural_product,-2.47,pallet,cycle count correction,quality manager,RCV-2017-00054,SHP-2024-00012,approved
ADJ-2018-00018,FCL-1029,2018-02-26,biological_sample,6.04,sealed_lot,cycle count correction,inventory supervisor,RCV-2023-00446,SHP-2023-00037,approved
ADJ-2018-00019,FCL-1020,2018-02-28,biological_sample,-2.01,sealed_lot,cycle count reconciliation,regional operations manager,,SHP-2018-00004,posted
ADJ-2018-00020,FCL-1021,2018-03-22,monitoring_equipment,7.58,kit,transfer posting correction,warehouse manager,,,approved
ADJ-2018-00021,FCL-1030,2018-03-26,biological_sample,1.0,sealed_lot,cycle count correction,inventory supervisor,,,pending_review
ADJ-2018-00022,FCL-1001,2018-03-28,monitoring_equipment,-3.08,kit,quality-hold release,finance controller,,,posted
ADJ-2018-00023,FCL-1024,2018-03-31,biological_sample,-4.14,sealed_lot,transfer posting correction,inventory supervisor,,SHP-2018-00007,posted
ADJ-2018-00024,FCL-1005,2018-05-14,monitoring_equipment,6.25,kit,cycle count correction,warehouse manager,,,pending_review
ADJ-2018-00025,FCL-1014,2018-05-21,protective_equipment,-1.0,case,damaged packaging write-off,warehouse manager,,,pending_review
ADJ-2018-00026,FCL-1007,2018-05-22,agricultural_product,-3.53,pallet,unit-of-measure review,inventory supervisor,,,approved
ADJ-2018-00027,FCL-1019,2018-05-31,biological_sample,-2.95,sealed_lot,transfer posting correction,inventory supervisor,,SHP-2018-00032,posted
ADJ-2018-00028,FCL-1010,2018-06-21,medical_consumables,-1.44,case,procedure stock issue,specialist programme administrator,,,posted
ADJ-2018-00029,FCL-1007,2018-08-10,medical_consumables,-1.56,case,specialist programme issue,specialist programme administrator,,,posted
ADJ-2019-00030,FCL-1015,2019-01-11,biological_sample,6.0,sealed_lot,late receipt posting,finance controller,,,approved
ADJ-2019-00031,FCL-1006,2019-01-23,biological_sample,-6.65,sealed_lot,cycle count correction,warehouse manager,,,approved
ADJ-2019-00032,FCL-1022,2019-01-24,medical_consumables,-5.86,case,cycle count correction,finance controller,,,pending_review
ADJ-2019-00033,FCL-1007,2019-03-14,medical_consumables,-2.3,case,specialist programme issue,specialist programme administrator,,,posted
ADJ-2019-00034,FCL-1007,2019-05-17,medical_consumables,-1.73,case,controlled-area consumption,quality manager,,,posted
ADJ-2019-00035,FCL-1019,2019-06-19,agricultural_product,1.0,pallet,cycle count correction,inventory supervisor,,,posted
ADJ-2019-00036,FCL-1023,2019-08-13,agricultural_product,-7.61,pallet,transfer posting correction,quality manager,RCV-2022-00342,,posted
ADJ-2019-00037,FCL-1002,2019-08-18,monitoring_equipment,-3.47,kit,damaged packaging write-off,inventory supervisor,RCV-2020-00186,,posted
ADJ-2019-00038,FCL-1001,2019-08-19,monitoring_equipment,-4.56,kit,cycle count correction,warehouse manager,RCV-2024-00497,,pending_review
ADJ-2019-00039,FCL-1020,2019-08-31,biological_sample,-2.69,sealed_lot,transfer posting correction,regional operations manager,,SHP-2019-00009,posted
ADJ-2019-00040,FCL-1007,2019-09-11,protective_equipment,6.07,case,late receipt posting,inventory supervisor,,,approved
ADJ-2019-00041,FCL-1026,2019-09-12,agricultural_product,1.24,pallet,quality-hold release,finance controller,,SHP-2021-00017,posted
ADJ-2019-00042,FCL-1027,2019-09-13,agricultural_product,3.38,pallet,quality-hold release,quality manager,,SHP-2024-00026,approved
ADJ-2019-00043,FCL-1001,2019-09-14,monitoring_equipment,2.4,kit,late receipt posting,inventory supervisor,,SHP-2024-00027,approved
ADJ-2019-00044,FCL-1018,2019-09-21,agricultural_product,-7.91,pallet,transfer posting correction,finance controller,,,pending_review
ADJ-2019-00045,FCL-1004,2019-09-21,medical_consumables,-2.61,case,cycle count correction,inventory supervisor,,,posted
ADJ-2019-00046,FCL-1024,2019-09-30,biological_sample,-1.08,sealed_lot,quality-hold release,quality manager,,SHP-2019-00026,posted
ADJ-2019-00047,FCL-1007,2019-10-03,medical_consumables,-2.07,case,procedure stock issue,quality manager,,,posted
ADJ-2019-00048,FCL-1003,2019-11-12,medical_consumables,2.25,case,cycle count correction,inventory supervisor,,,approved
ADJ-2019-00049,FCL-1003,2019-11-21,medical_consumables,-5.45,case,quality-hold release,finance controller,,,posted
ADJ-2019-00050,FCL-1010,2019-11-22,biological_sample,3.4,sealed_lot,damaged packaging write-off,quality manager,,,approved
ADJ-2019-00051,FCL-1010,2019-11-22,medical_consumables,-1.5,case,controlled-area consumption,specialist programme administrator,,,posted
ADJ-2019-00052,FCL-1019,2019-11-30,biological_sample,-4.81,sealed_lot,transfer posting correction,regional operations manager,,SHP-2019-00041,posted
ADJ-2020-00053,FCL-1009,2020-01-31,protective_equipment,-1.0,case,unit-of-measure review,inventory supervisor,,SHP-2023-00019,posted
