facility_code,reporting_month,item_category,opening_stock,received_quantity,outgoing_quantity,documented_internal_use,documented_waste,closing_stock,unit,inventory_status
FCL-1024,2018-02-01,biological_sample,14.55 sealed_lot,5.46,0.00,0.49,0.22,16.24,sealed_lot,closed
FCL-1024,2018-03-01,biological_sample,16.24,5.00,0.00,1.94,0.65,0.55,sealed_lot,closed
FCL-1024,2018-05-01,biological_sample,0.55,0.00,0.00,0.00,0.36,0.17,sealed_lot,closed
FCL-1024,2019-01-01,biological_sample,0.17,0.00,1.37,0.00,0.02,0.00,sealed_lot,provisional
FCL-1024,2019-08-01,biological_sample,0.00,3.12,8.80,0.00,0.08,0.00,sealed_lot,closed
FCL-1024,2019-09-01,biological_sample,0.00,4.00,0.00,0.08,0.44,0.00,sealed_lot,provisional
FCL-1024,2019-11-01,biological_sample,0.00,0.00,4.14,0.00,0.49,0.00,sealed_lot,closed
FCL-1024,2020-04-01,biological_sample,0.00,2.00,7.50,0.00,0.32,0.00,sealed_lot,closed
FCL-1024,2020-06-01,biological_sample,0.00,0.00,0.00,0.00,0.38,0.00,sealed_lot,closed
FCL-1024,2021-03-01,biological_sample,0.00,8.00,0.00,0.21,0.26,0.00,sealed_lot,closed
FCL-1024,2021-05-01,biological_sample,0.00,1.71,8.76,0.00,0.10,0.00,sealed_lot,closed
FCL-1024,2022-02-01,biological_sample,0.00,10.14,8.59,0.59,0.35,1.34,sealed_lot,closed
FCL-1024,2022-10-01,biological_sample,1.34,0.00,6.94,0.00,0.18,0.00,sealed_lot,closed
FCL-1024,2023-09-01,biological_sample,0.00,2.00,0.00,0.00,0.47,0.00,sealed_lot,revised
FCL-1024,2023-11-01,biological_sample,0.00,0.00,0.00,0.00,0.21,0.00,sealed_lot,closed
FCL-1024,2024-03-01,biological_sample,0.00,6.00,2.50,0.00,0.47,0.00,sealed_lot,revised
FCL-1024,2024-05-01,biological_sample,0.00,0.00,8.14,0.00,0.01,0.00,sealed_lot,closed
