facility_code,reporting_month,item_category,opening_stock,received_quantity,outgoing_quantity,documented_internal_use,documented_waste,closing_stock,unit,inventory_status,year,month
FCL-1010,2018-02-01,agricultural_product,47.51,6.37,0.25,5.22,1.33,43.7,pallet,closed,2018,2
FCL-1010,2018-03-01,agricultural_product,43.7,2.45,5.68,1.51,1.36,38.51,pallet,closed,2018,3
FCL-1010,2018-05-01,agricultural_product,38.51,0.0,0.0,1.75,1.87,37.11,pallet,closed,2018,5
FCL-1010,2019-01-01,agricultural_product,37.11,0.0,0.0,2.04,0.05,36.01,pallet,closed,2019,1
FCL-1010,2019-08-01,agricultural_product,36.01,0.0,0.0,1.04,0.04,34.42,pallet,closed,2019,8
FCL-1010,2019-09-01,agricultural_product,34.42,0.0,0.0,4.56,0.3,29.85,pallet,closed,2019,9
FCL-1010,2019-11-01,agricultural_product,29.85,9.06,0.0,1.71,1.07,37.15,pallet,closed,2019,11
FCL-1010,2020-04-01,agricultural_product,37.15,28.0,7.55,1.41,1.44,56.03,pallet,closed,2020,4
FCL-1010,2020-06-01,agricultural_product,56.03,0.0,0.0,7.91,0.69,46.56,pallet,closed,2020,6
FCL-1010,2021-03-01,agricultural_product,46.56,6.52,0.0,6.68,0.51,44.91,pallet,closed,2021,3
FCL-1010,2021-05-01,agricultural_product,44.91,5.51,3.21,7.31,1.23,42.82,pallet,closed,2021,5
FCL-1010,2022-02-01,agricultural_product,42.82,4.68,0.0,0.05,1.39,45.22,pallet,closed,2022,2
FCL-1010,2022-10-01,agricultural_product,45.22,3.0,0.0,8.1,0.59,40.25,pallet,closed,2022,10
FCL-1010,2023-09-01,agricultural_product,40.25,2.7,0.0,4.53,0.07,37.71,pallet,closed,2023,9
FCL-1010,2023-11-01,agricultural_product,37.71,0.0,0.0,6.13,1.64,30.12,pallet,closed,2023,11
FCL-1010,2024-03-01,agricultural_product,30.12,11.46,0.0,1.84,0.97,38.54,pallet,closed,2024,3
FCL-1010,2024-05-01,agricultural_product,38.54,7.75,0.0,3.82,0.72,44.95,pallet,closed,2024,5
FCL-1010,2024-08-01,agricultural_product,44.95,0.0,0.0,7.62,0.66,36.75,pallet,closed,2024,8
FCL-1010,2025-04-01,agricultural_product,36.75,0.0,1.48,3.02,1.67,31.51,pallet,closed,2025,4
FCL-1010,2025-06-01,agricultural_product,31.51,4.91,2.99,5.44,0.55,29.48,pallet,closed,2025,6
FCL-1010,2018-02-01,biological_sample,56.95,8.0,0.0,4.83,0.61,61.68,sealed_lot,closed,2018,2
FCL-1010,2018-03-01,biological_sample,61.68,7.72,0.0,4.46,1.24,64.26,sealed_lot,closed,2018,3
FCL-1010,2018-05-01,biological_sample,64.26,0.0,0.0,3.26,2.87,57.55,sealed_lot,closed,2018,5
FCL-1010,2019-01-01,biological_sample,57.55,10.16,4.95,0.66,2.51,60.13,sealed_lot,closed,2019,1
FCL-1010,2019-08-01,biological_sample,60.13,0.0,4.4,5.7,0.66,49.55,sealed_lot,closed,2019,8
FCL-1010,2019-09-01,biological_sample,49.55,5.52,5.82,5.61,2.46,40.56,sealed_lot,closed,2019,9
FCL-1010,2019-11-01,biological_sample,40.56,5.42,18.0,0.71,0.06,29.24,sealed_lot,closed,2019,11
FCL-1010,2020-04-01,biological_sample,29.24,0.0,0.0,3.58,0.94,27.36,sealed_lot,closed,2020,4
FCL-1010,2020-06-01,biological_sample,27.36,6.8,0.0,2.26,1.06,30.51,sealed_lot,closed,2020,6
FCL-1010,2021-03-01,biological_sample,30.51,0.0,0.0,1.63,0.28,29.91,sealed_lot,closed,2021,3
FCL-1010,2021-05-01,biological_sample,29.91,8.57,0.0,2.19,0.81,35.29,sealed_lot,closed,2021,5
FCL-1010,2022-02-01,biological_sample,35.29,9.0,4.71,1.56,0.27,38.55,sealed_lot,closed,2022,2
FCL-1010,2022-10-01,biological_sample,38.55,5.83,0.0,2.36,0.16,42.6,sealed_lot,closed,2022,10
FCL-1010,2023-09-01,biological_sample,42.6,10.38,0.0,1.08,2.1,50.19,sealed_lot,closed,2023,9
FCL-1010,2023-11-01,biological_sample,50.19,9.0,7.66,5.52,2.38,43.43,sealed_lot,closed,2023,11
FCL-1010,2024-03-01,biological_sample,43.43,0.0,0.0,2.27,0.71,41.99,sealed_lot,closed,2024,3
FCL-1010,2024-05-01,biological_sample,41.99,0.0,3.8,0.96,1.96,34.09,sealed_lot,closed,2024,5
FCL-1010,2024-08-01,biological_sample,34.09,1.04,0.0,4.99,0.46,33.82,sealed_lot,closed,2024,8
FCL-1010,2025-04-01,biological_sample,33.82,7.87,0.0,4.9,1.37,34.38,sealed_lot,closed,2025,4
FCL-1010,2025-06-01,biological_sample,34.38,3.19,0.0,1.42,0.47,34.32,sealed_lot,closed,2025,6
FCL-1010,2018-02-01,medical_consumables,39.86,43.0,0.0,6.33,1.43,74.96,case,closed,2018,2
FCL-1010,2018-03-01,medical_consumables,74.96,11.16,0.0,1.76,3.6,81.52,case,closed,2018,3
FCL-1010,2018-05-01,medical_consumables,81.52,11.25,2.39,9.42,1.56,81.33,case,closed,2018,5
FCL-1010,2019-01-01,medical_consumables,81.33,0.0,0.48,8.7,2.0,70.38,case,closed,2019,1
FCL-1010,2019-08-01,medical_consumables,70.38,0.0,0.86,8.08,1.08,48.04,case,closed,2019,8
FCL-1010,2019-09-01,medical_consumables,48.04,90.0,0.0,8.14,0.65,127.72,case,closed,2019,9
FCL-1010,2019-11-01,medical_consumables,127.72,128.0,0.0,10.0,3.36,239.01,case,closed,2019,11
FCL-1010,2020-04-01,medical_consumables,239.01,5.21,0.15,7.17,10.68,223.75,case,closed,2020,4
FCL-1010,2020-06-01,medical_consumables,223.75,3.02,0.0,15.2,10.84,197.09,case,closed,2020,6
FCL-1010,2021-03-01,medical_consumables,197.09,0.0,7.47,8.13,5.42,164.73,case,revised,2021,3
FCL-1010,2021-05-01,medical_consumables,164.73,9.09,7.97,16.77,4.69,142.87,case,closed,2021,5
FCL-1010,2022-02-01,medical_consumables,142.87,77.0,4.31,13.95,4.44,194.88,case,closed,2022,2
FCL-1010,2022-10-01,medical_consumables,194.88,11.14,22.0,20.62,1.28,163.8,case,closed,2022,10
FCL-1010,2023-09-01,medical_consumables,163.8,111.41,1.91,9.51,4.43,258.7,case,closed,2023,9
FCL-1010,2023-11-01,medical_consumables,258.7,81.0,0.7,39.01,11.61,270.62,case,revised,2023,11
FCL-1010,2024-03-01,medical_consumables,270.62,11.81,5.8,20.38,4.57,249.1,case,closed,2024,3
FCL-1010,2024-05-01,medical_consumables,249.1,0.0,0.0,9.79,2.53,237.31,case,closed,2024,5
FCL-1010,2024-08-01,medical_consumables,237.31,7.53,1.56,41.59,2.16,185.89,case,closed,2024,8
FCL-1010,2025-04-01,medical_consumables,185.89,0.0,3.15,15.33,8.48,145.0,case,revised,2025,4
FCL-1010,2025-06-01,medical_consumables,145.0,64.0,0.0,11.57,1.66,195.61,case,closed,2025,6
FCL-1010,2018-02-01,monitoring_equipment,58.48,1.82,4.71,3.88,1.29,49.92,kit,provisional,2018,2
FCL-1010,2018-03-01,monitoring_equipment,49.92,0.0,7.92,3.35,2.37,36.35,kit,closed,2018,3
FCL-1010,2018-05-01,monitoring_equipment,36.35,3.47,0.0,3.91,1.01,35.65,kit,closed,2018,5
FCL-1010,2019-01-01,monitoring_equipment,35.65,9.3,0.0,5.33,1.34,39.03,kit,closed,2019,1
FCL-1010,2019-08-01,monitoring_equipment,39.03,5.7,0.0,4.86,0.33,36.65,kit,closed,2019,8
FCL-1010,2019-09-01,monitoring_equipment,36.65,0.0,17.0,3.05,1.5,16.91,kit,closed,2019,9
FCL-1010,2019-11-01,monitoring_equipment,16.91,0.0,0.0,0.11,0.19,15.67,kit,closed,2019,11
FCL-1010,2020-04-01,monitoring_equipment,15.67,1.12,0.0,1.65,0.47,16.56,kit,closed,2020,4
FCL-1010,2020-06-01,monitoring_equipment,16.56,3.0,7.32,1.47,0.21,9.63,kit,provisional,2020,6
FCL-1010,2021-03-01,monitoring_equipment,9.63,26.0,2.63,1.45,0.24,33.55,kit,closed,2021,3
FCL-1010,2021-05-01,monitoring_equipment,33.55,27.0,2.53,2.12,1.44,55.45,kit,closed,2021,5
FCL-1010,2022-02-01,monitoring_equipment,55.45,2.34,0.21,9.58,0.34,46.18,kit,closed,2022,2
FCL-1010,2022-10-01,monitoring_equipment,46.18,25.0,1.12,4.32,0.67,64.75,kit,closed,2022,10
FCL-1010,2023-09-01,monitoring_equipment,64.75,11.73,4.0,6.1,2.39,65.38,kit,closed,2023,9
FCL-1010,2023-11-01,monitoring_equipment,65.38,2.28,3.93,0.84,0.62,61.28,kit,closed,2023,11
FCL-1010,2024-03-01,monitoring_equipment,61.28,0.0,8.46,10.41,1.45,38.33,kit,closed,2024,3
FCL-1010,2024-05-01,monitoring_equipment,38.33,6.92,8.8,5.95,0.04,29.4,kit,closed,2024,5
FCL-1010,2024-08-01,monitoring_equipment,29.4,2.52,2.18,1.38,1.39,28.63,kit,closed,2024,8
FCL-1010,2025-04-01,monitoring_equipment,28.63,3.38,6.95,1.63,0.08,22.35,kit,closed,2025,4
