shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status
SHP-2014-00001,1,2014-07-10T09:00:00,2014-07-11T03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,2,sealed_lot,2-8C,expedited,temperature-controlled clinical programme delivery,delivered
SHP-2015-00001,1,2015-01-10T11:00:00,2015-01-13T16:00:00,BP-30035,BP-30033,FCL-1009,FCL-1013,BP-30020,medical_consumables,73,case,2-8C,ordinary,scheduled stock transfer,returned
SHP-2015-00002,1,2015-01-11T06:00:00,2015-01-12T00:00:00,BP-30028,BP-30037,FCL-1020,FCL-1017,BP-30015,office_supply,82,case,ambient,emergency,customer distribution,delivered
SHP-2015-00003,1,2015-02-17T15:00:00,2015-02-19T08:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30047,biological_sample,2,sealed_lot,2-8C,restricted,laboratory delivery,delivered
SHP-2015-00004,1,2015-06-10T12:00:00,2015-06-12T09:00:00,BP-30025,BP-30079,FCL-1026,FCL-1022,BP-30025,legal_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2015-00005,1,2015-06-22T16:00:00,2015-06-24T06:00:00,BP-30028,BP-30018,FCL-1020,FCL-1003,BP-30055,monitoring_equipment,8,kit,ambient,ordinary,agricultural distribution,delivered
SHP-2015-00006,1,2015-06-29T12:00:00,2015-06-30T12:00:00,BP-30007,BP-30020,FCL-1014,FCL-1001,BP-30015,grant,1,grant,ambient,expedited,field programme support,delivered
SHP-2015-00007,1,2015-07-21T09:00:00,2015-07-23T21:00:00,BP-30002,BP-30054,FCL-1030,FCL-1007,BP-30078,biological_sample,2,sealed_lot,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2015-00008,1,2015-08-12T10:00:00,2015-08-14T10:00:00,BP-30055,BP-30046,FCL-1010,FCL-1010,BP-30047,refrigeration_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2015-00009,1,2015-08-14T16:00:00,2015-08-16T08:00:00,BP-30039,BP-30003,FCL-1029,FCL-1015,BP-30060,legal_service,1,service,ambient,expedited,agricultural distribution,delivered
SHP-2015-00010,1,2015-08-24T06:00:00,2015-08-25T08:00:00,BP-30049,BP-30080,FCL-1002,FCL-1020,BP-30060,cold_storage_equipment,15,unit,ambient,ordinary,laboratory delivery,delivered
SHP-2015-00011,1,2015-09-02T09:00:00,2015-09-04T05:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,medical_consumables,6,case,2-8C,ordinary,temperature-controlled clinical programme delivery,delivered
SHP-2015-00012,1,2015-09-09T15:00:00,2015-09-12T10:00:00,BP-30078,BP-30055,FCL-1011,FCL-1010,BP-30020,biological_sample,7,sealed_lot,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2015-00013,1,2015-10-08T08:00:00,2015-10-11T23:00:00,BP-30071,BP-30062,FCL-1011,FCL-1012,BP-30055,office_supply,66,case,ambient,ordinary,scheduled stock transfer,delivered
SHP-2015-00014,1,2015-10-12T07:00:00,2015-10-14T23:00:00,BP-30047,BP-30009,FCL-1016,FCL-1010,BP-30042,laboratory_material,31,pack,ambient,restricted,scheduled stock transfer,delayed
SHP-2015-00015,1,2015-11-22T10:00:00,2015-11-26T06:00:00,BP-30073,BP-30011,FCL-1019,FCL-1012,BP-30020,transport_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2015-00016,1,2015-12-09T15:00:00,2015-12-13T11:00:00,BP-30012,BP-30067,FCL-1020,FCL-1023,BP-30025,biological_sample,5,sealed_lot,2-8C,ordinary,customer distribution,delivered
SHP-2015-00017,1,2015-12-26T07:00:00,2015-12-29T15:00:00,BP-30033,BP-30004,FCL-1013,FCL-1029,BP-30055,medical_consumables,78,case,2-8c,ordinary,agricultural distribution,delivered
SHP-2016-00001,1,2016-01-10T14:00:00,2016-01-13T03:00:00,BP-30004,BP-30041,FCL-1029,FCL-1008,BP-30015,monitoring_equipment,13,kit,ambient,ordinary,facility replenishment,returned
