shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status,dispatch_year,dispatch_month,transit_hours
SHP-2014-00001,1,2014-07-10 09:00:00,2014-07-11 03:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,biological_sample,2,sealed_lot,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2014,7,18.0
SHP-2015-00001,1,2015-01-10 11:00:00,2015-01-13 16:00:00,BP-30035,BP-30033,FCL-1009,FCL-1013,BP-30020,medical_consumables,73,case,2-8c,ordinary,scheduled stock transfer,returned,2015,1,77.0
SHP-2015-00002,1,2015-01-11 06:00:00,2015-01-12 00:00:00,BP-30028,BP-30037,FCL-1020,FCL-1017,BP-30015,office_supply,82,case,ambient,emergency,customer distribution,delivered,2015,1,18.0
SHP-2015-00003,1,2015-02-17 15:00:00,2015-02-19 08:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30047,biological_sample,2,sealed_lot,2-8c,restricted,laboratory delivery,delivered,2015,2,41.0
SHP-2015-00004,1,2015-06-10 12:00:00,2015-06-12 09:00:00,BP-30025,BP-30079,FCL-1026,FCL-1022,BP-30025,legal_service,1,service,ambient,ordinary,facility replenishment,delivered,2015,6,45.0
SHP-2015-00005,1,2015-06-22 16:00:00,2015-06-24 06:00:00,BP-30028,BP-30018,FCL-1020,FCL-1003,BP-30055,monitoring_equipment,8,kit,ambient,ordinary,agricultural distribution,delivered,2015,6,38.0
SHP-2015-00006,1,2015-06-29 12:00:00,2015-06-30 12:00:00,BP-30007,BP-30020,FCL-1014,FCL-1001,BP-30015,grant,1,grant,ambient,expedited,field programme support,delivered,2015,6,24.0
SHP-2015-00007,1,2015-07-21 09:00:00,2015-07-23 21:00:00,BP-30002,BP-30054,FCL-1030,FCL-1007,BP-30078,biological_sample,2,sealed_lot,2-8c,ordinary,scheduled stock transfer,delivered,2015,7,60.0
SHP-2015-00008,1,2015-08-12 10:00:00,2015-08-14 10:00:00,BP-30055,BP-30046,FCL-1010,FCL-1010,BP-30047,refrigeration_service,1,service,ambient,ordinary,field programme support,delivered,2015,8,48.0
SHP-2015-00009,1,2015-08-14 16:00:00,2015-08-16 08:00:00,BP-30039,BP-30003,FCL-1029,FCL-1015,BP-30060,legal_service,1,service,ambient,expedited,agricultural distribution,delivered,2015,8,40.0
