regulatory_event_id,case_number,case_category,event_time,activity,subject_name,subject_registration_number,agency_name,initiating_source,assigned_unit,related_site_code,related_shipment_number,previous_status,new_status,outcome,public_reference
RGE-000001,REG-2018-0001,environmental_complaint,2018-05-14T09:00:00,case_opened,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,new,open,case registered,
RGE-000002,REG-2018-0001,environmental_complaint,2018-05-18T09:00:00,evidence_received,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,open,evidence_review,material received from Lantern Investigative Bureau,
RGE-000003,REG-2018-0001,environmental_complaint,2018-05-20T09:00:00,triage_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,evidence_review,assigned,case assigned,
RGE-000004,REG-2018-0001,environmental_complaint,2018-05-23T09:00:00,technical_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,assigned,findings_review,technical review completed,
RGE-000005,REG-2018-0001,environmental_complaint,2018-05-27T09:00:00,finding_issued,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,findings_review,monitoring,monitoring recommendation issued,
RGE-000006,REG-2018-0001,environmental_complaint,2018-06-01T09:00:00,case_closed,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2018-00032,monitoring,closed,case closed,
RGE-000007,REG-2019-0002,environmental_complaint,2019-03-08T09:00:00,case_opened,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,new,open,case registered,
RGE-000008,REG-2019-0002,environmental_complaint,2019-03-12T09:00:00,evidence_received,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,open,evidence_review,material received from Pollinator Justice Network,
RGE-000009,REG-2019-0002,environmental_complaint,2019-03-14T09:00:00,triage_review,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,evidence_review,assigned,case assigned,
RGE-000010,REG-2019-0002,environmental_complaint,2019-03-17T09:00:00,technical_review,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,assigned,findings_review,technical review completed,
RGE-000011,REG-2019-0002,environmental_complaint,2019-03-21T09:00:00,finding_issued,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,findings_review,monitoring,monitoring recommendation issued,
RGE-000012,REG-2019-0002,environmental_complaint,2019/03/26 09:00:00,case_closed,Kintara Cave and Pollinator Authority,,Tembara Customs Coordination Unit,civil society referral,integrity review,KNT-KES,SHP-2018-00007,monitoring,closed,case closed,
RGE-000013,REG-2020-0003,environmental_complaint,2020-07-30T09:00:00,case_opened,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,new,open,case registered,PUB-2020-0004
RGE-000014,REG-2020-0003,environmental_complaint,2020-08-03T09:00:00,evidence_received,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,open,evidence_review,material received from Earth Ledger Project,PUB-2020-0004
RGE-000015,REG-2020-0003,environmental_complaint,2020-08-05T09:00:00,triage_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,evidence_review,assigned,case assigned,PUB-2020-0004
RGE-000016,REG-2020-0003,environmental_complaint,2020-08-08T09:00:00,technical_review,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,assigned,findings_review,technical review completed,PUB-2020-0004
RGE-000017,REG-2020-0003,environmental_complaint,2020-08-11T09:00:00,referral_recorded,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,findings_review,referred,operational review referred,PUB-2020-0004
RGE-000018,REG-2020-0003,environmental_complaint,2020-08-18T09:00:00,case_closed,Meridian BioLogistics,REG-VLN-01001,Tembara Customs Coordination Unit,civil society referral,integrity review,TMB-PEL,SHP-2019-00009,referred,closed,case closed after review,PUB-2020-0004
RGE-000019,REG-2021-0004,environmental_complaint,2021-05-08T09:00:00,case_opened,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,new,open,case registered,PUB-2021-0005
RGE-000020,REG-2021-0004,environmental_complaint,2021-05-12T09:00:00,evidence_received,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,open,evidence_review,material received from Common Ground Climate Forum,PUB-2021-0005
RGE-000021,REG-2021-0004,environmental_complaint,2021-05-14T09:00:00,triage_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,evidence_review,assigned,case assigned,PUB-2021-0005
RGE-000022,REG-2021-0004,environmental_complaint,2021-05-17T09:00:00,technical_review,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,assigned,findings_review,technical review completed,PUB-2021-0005
RGE-000023,REG-2021-0004,environmental_complaint,2021-05-21T09:00:00,finding_issued,Avelora Agricultural Resilience Agency,,Tembara Customs Coordination Unit,civil society referral,integrity review,AVL-MAR,SHP-2021-00028,findings_review,monitoring,monitoring recommendation issued,PUB-2021-0005
